Entity,Code,Day,Weekly new ICU admissions,145336-annotations
Chile,CHL,2020-04-15,195,
Chile,CHL,2020-04-16,194,
Chile,CHL,2020-04-17,183,
Chile,CHL,2020-04-18,168,
Chile,CHL,2020-04-19,180,
Chile,CHL,2020-04-20,183,
Chile,CHL,2020-04-21,208,
Chile,CHL,2020-04-22,220,
Chile,CHL,2020-04-23,234,
Chile,CHL,2020-04-24,228,
Chile,CHL,2020-04-25,245,
Chile,CHL,2020-04-26,231,
Chile,CHL,2020-04-27,223,
Chile,CHL,2020-04-28,213,
Chile,CHL,2020-04-29,213,
Chile,CHL,2020-04-30,205,
Chile,CHL,2020-05-01,206,
Chile,CHL,2020-05-02,200,
Chile,CHL,2020-05-03,222,
Chile,CHL,2020-05-04,236,
Chile,CHL,2020-05-05,245,
Chile,CHL,2020-05-06,258,
Chile,CHL,2020-05-07,256,
Chile,CHL,2020-05-08,274,
Chile,CHL,2020-05-09,311,
Chile,CHL,2020-05-10,310,
Chile,CHL,2020-05-11,306,
Chile,CHL,2020-05-12,330,
Chile,CHL,2020-05-13,359,
Chile,CHL,2020-05-14,389,
Chile,CHL,2020-05-15,424,
Chile,CHL,2020-05-16,453,
Chile,CHL,2020-05-17,460,
Chile,CHL,2020-05-18,501,
Chile,CHL,2020-05-19,558,
Chile,CHL,2020-05-20,582,
Chile,CHL,2020-05-21,603,
Chile,CHL,2020-05-22,620,
Chile,CHL,2020-05-23,661,
Chile,CHL,2020-05-24,680,
Chile,CHL,2020-05-25,701,
Chile,CHL,2020-05-26,675,
Chile,CHL,2020-05-27,716,
Chile,CHL,2020-05-28,750,
Chile,CHL,2020-05-29,790,
Chile,CHL,2020-05-30,755,
Chile,CHL,2020-05-31,765,
Chile,CHL,2020-06-01,782,
Chile,CHL,2020-06-02,773,
Chile,CHL,2020-06-03,746,
Chile,CHL,2020-06-04,762,
Chile,CHL,2020-06-05,740,
Chile,CHL,2020-06-06,747,
Chile,CHL,2020-06-07,804,
Chile,CHL,2020-06-08,781,
Chile,CHL,2020-06-09,774,
Chile,CHL,2020-06-10,785,
Chile,CHL,2020-06-11,790,
Chile,CHL,2020-06-12,803,
Chile,CHL,2020-06-13,803,
Chile,CHL,2020-06-14,837,
Chile,CHL,2020-06-15,844,
Chile,CHL,2020-06-16,861,
Chile,CHL,2020-06-17,913,
Chile,CHL,2020-06-18,934,
Chile,CHL,2020-06-19,974,
Chile,CHL,2020-06-20,1029,
Chile,CHL,2020-06-21,995,
Chile,CHL,2020-06-22,997,
Chile,CHL,2020-06-23,986,
Chile,CHL,2020-06-24,965,
Chile,CHL,2020-06-25,967,
Chile,CHL,2020-06-26,951,
Chile,CHL,2020-06-27,918,
Chile,CHL,2020-06-28,912,
Chile,CHL,2020-06-29,898,
Chile,CHL,2020-06-30,911,
Chile,CHL,2020-07-01,834,
Chile,CHL,2020-07-02,807,
Chile,CHL,2020-07-03,768,
Chile,CHL,2020-07-04,747,
Chile,CHL,2020-07-05,731,
Chile,CHL,2020-07-06,740,
Chile,CHL,2020-07-07,701,
Chile,CHL,2020-07-08,768,
Chile,CHL,2020-07-09,758,
Chile,CHL,2020-07-10,747,
Chile,CHL,2020-07-11,765,
Chile,CHL,2020-07-12,759,
Chile,CHL,2020-07-13,713,
Chile,CHL,2020-07-14,724,
Chile,CHL,2020-07-15,692,
Chile,CHL,2020-07-16,667,
Chile,CHL,2020-07-17,631,
Chile,CHL,2020-07-18,575,
Chile,CHL,2020-07-19,564,
Chile,CHL,2020-07-20,573,
Chile,CHL,2020-07-21,555,
Chile,CHL,2020-07-22,532,
Chile,CHL,2020-07-23,518,
Chile,CHL,2020-07-24,532,
Chile,CHL,2020-07-25,533,
Chile,CHL,2020-07-26,503,
Chile,CHL,2020-07-27,485,
Chile,CHL,2020-07-28,470,
Chile,CHL,2020-07-29,453,
Chile,CHL,2020-07-30,452,
Chile,CHL,2020-07-31,444,
Chile,CHL,2020-08-01,445,
Chile,CHL,2020-08-02,425,
Chile,CHL,2020-08-03,429,
Chile,CHL,2020-08-04,426,
Chile,CHL,2020-08-05,426,
Chile,CHL,2020-08-06,399,
Chile,CHL,2020-08-07,387,
Chile,CHL,2020-08-08,367,
Chile,CHL,2020-08-09,381,
Chile,CHL,2020-08-10,381,
Chile,CHL,2020-08-11,376,
Chile,CHL,2020-08-12,372,
Chile,CHL,2020-08-13,370,
Chile,CHL,2020-08-14,356,
Chile,CHL,2020-08-15,367,
Chile,CHL,2020-08-16,359,
Chile,CHL,2020-08-17,345,
Chile,CHL,2020-08-18,347,
Chile,CHL,2020-08-19,323,
Chile,CHL,2020-08-20,322,
Chile,CHL,2020-08-21,325,
Chile,CHL,2020-08-22,323,
Chile,CHL,2020-08-23,315,
Chile,CHL,2020-08-24,318,
Chile,CHL,2020-08-25,311,
Chile,CHL,2020-08-26,348,
Chile,CHL,2020-08-27,339,
Chile,CHL,2020-08-28,328,
Chile,CHL,2020-08-29,316,
Chile,CHL,2020-08-30,320,
Chile,CHL,2020-08-31,321,
Chile,CHL,2020-09-01,321,
Chile,CHL,2020-09-02,283,
Chile,CHL,2020-09-03,290,
Chile,CHL,2020-09-04,301,
Chile,CHL,2020-09-05,305,
Chile,CHL,2020-09-06,315,
Chile,CHL,2020-09-07,322,
Chile,CHL,2020-09-08,334,
Chile,CHL,2020-09-09,366,
Chile,CHL,2020-09-10,359,
Chile,CHL,2020-09-11,361,
Chile,CHL,2020-09-12,361,
Chile,CHL,2020-09-13,351,
Chile,CHL,2020-09-14,347,
Chile,CHL,2020-09-15,345,
Chile,CHL,2020-09-16,316,
Chile,CHL,2020-09-17,327,
Chile,CHL,2020-09-18,314,
Chile,CHL,2020-09-19,309,
Chile,CHL,2020-09-20,303,
Chile,CHL,2020-09-21,294,
Chile,CHL,2020-09-22,296,
Chile,CHL,2020-09-23,302,
Chile,CHL,2020-09-24,310,
Chile,CHL,2020-09-25,319,
Chile,CHL,2020-09-26,321,
Chile,CHL,2020-09-27,324,
Chile,CHL,2020-09-28,326,
Chile,CHL,2020-09-29,309,
Chile,CHL,2020-09-30,301,
Chile,CHL,2020-10-01,302,
Chile,CHL,2020-10-02,283,
Chile,CHL,2020-10-03,294,
Chile,CHL,2020-10-04,293,
Chile,CHL,2020-10-05,291,
Chile,CHL,2020-10-06,289,
Chile,CHL,2020-10-07,303,
Chile,CHL,2020-10-08,292,
Chile,CHL,2020-10-09,307,
Chile,CHL,2020-10-10,292,
Chile,CHL,2020-10-11,289,
Chile,CHL,2020-10-12,292,
Chile,CHL,2020-10-13,302,
Chile,CHL,2020-10-14,275,
Chile,CHL,2020-10-15,282,
Chile,CHL,2020-10-16,284,
Chile,CHL,2020-10-17,267,
Chile,CHL,2020-10-18,261,
Chile,CHL,2020-10-19,254,
Chile,CHL,2020-10-20,255,
Chile,CHL,2020-10-21,281,
Chile,CHL,2020-10-22,269,
Chile,CHL,2020-10-23,250,
Chile,CHL,2020-10-24,271,
Chile,CHL,2020-10-25,278,
Chile,CHL,2020-10-26,289,
Chile,CHL,2020-10-27,280,
Chile,CHL,2020-10-28,274,
Chile,CHL,2020-10-29,284,
Chile,CHL,2020-10-30,292,
Chile,CHL,2020-10-31,282,
Chile,CHL,2020-11-01,273,
Chile,CHL,2020-11-02,263,
Chile,CHL,2020-11-03,267,
Chile,CHL,2020-11-04,264,
Chile,CHL,2020-11-05,249,
Chile,CHL,2020-11-06,258,
Chile,CHL,2020-11-07,266,
Chile,CHL,2020-11-08,262,
Chile,CHL,2020-11-09,256,
Chile,CHL,2020-11-10,257,
Chile,CHL,2020-11-11,253,
Chile,CHL,2020-11-12,256,
Chile,CHL,2020-11-13,259,
